code,hl,name
ky,de,Kirgisisch
lo,de,Laotisch
lt,de,Litauisch
lv,de,Lettisch
mk,de,Mazedonisch
ml,de,Malayalam
mn,de,Mongolisch
mr,de,Marathi
ms,de,Malaiisch
my,de,Birmanisch
no,de,Norwegisch
ne,de,Nepalesisch
nl,de,Niederländisch
or,de,Oriya
pa,de,Punjabi
pl,de,Polnisch
pt,de,Portugiesisch
pt-PT,de,Portugiesisch (Portugal)
ro,de,Rumänisch
ru,de,Russisch
si,de,Singhalesisch
sk,de,Slowakisch
sl,de,Slowenisch
sq,de,Albanisch
sr-Latn,de,Serbisch (Lateinisch)
sr,de,Serbisch
sv,de,Schwedisch
sw,de,Suaheli
ta,de,Tamil
te,de,Telugu
th,de,Thailändisch
tr,de,Türkisch
uk,de,Ukrainisch
ur,de,Urdu
uz,de,Usbekisch
vi,de,Vietnamesisch
zh-CN,de,Chinesisch (China)
zh-HK,de,Chinesisch (Hongkong)
zh-TW,de,Chinesisch (Taiwan)
zu,de,Zulu
af,el,Αφρικάανς
am,el,Αμχαρικά
ar,el,Αραβικά
as,el,Ασαμικά
az,el,Αζερμπαϊτζανικά
be,el,Λευκορωσικά
bg,el,Βουλγαρικά
bn,el,Βεγγαλικά
bs,el,Βοσνιακά
ca,el,Καταλανικά
cs,el,Τσεχικά
da,el,Δανικά
de,el,Γερμανικά
el,el,Ελληνικά
en-GB,el,Αγγλικά (Ηνωμένο Βασίλειο)
en-IN,el,Αγγλικά (Ινδία)
en,el,Αγγλικά
es,el,Ισπανικά
es-419,el,Ισπανικά (Λατινική Αμερική)
